site,date,rainfall_mm
HY Wai-iti at Belgrove,2017-11-01,0
HY Wai-iti at Belgrove,2017-11-02,0
HY Wai-iti at Belgrove,2017-11-03,0.934
HY Wai-iti at Belgrove,2017-11-04,0
HY Wai-iti at Belgrove,2017-11-05,0.467
HY Wai-iti at Belgrove,2017-11-06,0
HY Wai-iti at Belgrove,2017-11-07,3.736
HY Wai-iti at Belgrove,2017-11-08,3.736
HY Wai-iti at Belgrove,2017-11-09,0
HY Wai-iti at Belgrove,2017-11-10,0
HY Wai-iti at Belgrove,2017-11-11,0
HY Wai-iti at Belgrove,2017-11-12,2.802
HY Wai-iti at Belgrove,2017-11-13,2.335
HY Wai-iti at Belgrove,2017-11-14,0.467
HY Wai-iti at Belgrove,2017-11-15,0
HY Wai-iti at Belgrove,2017-11-16,0
HY Wai-iti at Belgrove,2017-11-17,1.401
HY Wai-iti at Belgrove,2017-11-18,0
HY Wai-iti at Belgrove,2017-11-19,0
HY Wai-iti at Belgrove,2017-11-20,0
HY Wai-iti at Belgrove,2017-11-21,0
HY Wai-iti at Belgrove,2017-11-22,0
HY Wai-iti at Belgrove,2017-11-23,0
HY Wai-iti at Belgrove,2017-11-24,0
HY Wai-iti at Belgrove,2017-11-25,0
HY Wai-iti at Belgrove,2017-11-26,0
HY Wai-iti at Belgrove,2017-11-27,0
HY Wai-iti at Belgrove,2017-11-28,0
HY Wai-iti at Belgrove,2017-11-29,2.335
HY Wai-iti at Belgrove,2017-11-30,0
HY Wai-iti at Belgrove,2017-12-01,0
HY Wai-iti at Belgrove,2017-12-02,0
HY Wai-iti at Belgrove,2017-12-03,0
HY Wai-iti at Belgrove,2017-12-04,0
HY Wai-iti at Belgrove,2017-12-05,0
HY Wai-iti at Belgrove,2017-12-06,0
HY Wai-iti at Belgrove,2017-12-07,0
HY Wai-iti at Belgrove,2017-12-08,0
HY Wai-iti at Belgrove,2017-12-09,0
HY Wai-iti at Belgrove,2017-12-10,0.882
HY Wai-iti at Belgrove,2017-12-11,0
HY Wai-iti at Belgrove,2017-12-12,0
HY Wai-iti at Belgrove,2017-12-13,0
HY Wai-iti at Belgrove,2017-12-14,0
HY Wai-iti at Belgrove,2017-12-15,0
HY Wai-iti at Belgrove,2017-12-16,0
HY Wai-iti at Belgrove,2017-12-17,0
HY Wai-iti at Belgrove,2017-12-18,0
HY Wai-iti at Belgrove,2017-12-19,0
HY Wai-iti at Belgrove,2017-12-20,0
HY Wai-iti at Belgrove,2017-12-21,0
HY Wai-iti at Belgrove,2017-12-22,0
HY Wai-iti at Belgrove,2017-12-23,0
HY Wai-iti at Belgrove,2017-12-24,0
HY Wai-iti at Belgrove,2017-12-25,0
HY Wai-iti at Belgrove,2017-12-26,10.584
HY Wai-iti at Belgrove,2017-12-27,0.441
HY Wai-iti at Belgrove,2017-12-28,0
HY Wai-iti at Belgrove,2017-12-29,0
HY Wai-iti at Belgrove,2017-12-30,0
HY Wai-iti at Belgrove,2017-12-31,0
HY Wai-iti at Belgrove,2018-01-01,0
HY Wai-iti at Belgrove,2018-01-02,2.205
HY Wai-iti at Belgrove,2018-01-03,0.882
HY Wai-iti at Belgrove,2018-01-04,7.89
HY Wai-iti at Belgrove,2018-01-05,34.19
HY Wai-iti at Belgrove,2018-01-06,9.994
HY Wai-iti at Belgrove,2018-01-07,3.682
HY Wai-iti at Belgrove,2018-01-08,0
HY Wai-iti at Belgrove,2018-01-09,2.104
HY Wai-iti at Belgrove,2018-01-10,39.45
HY Wai-iti at Belgrove,2018-01-11,32.612
HY Wai-iti at Belgrove,2018-01-12,29.812638
HY Wai-iti at Belgrove,2018-01-13,45.40536
HY Wai-iti at Belgrove,2018-01-14,0
HY Wai-iti at Belgrove,2018-01-15,0
HY Wai-iti at Belgrove,2018-01-16,0
HY Wai-iti at Belgrove,2018-01-17,54.178
HY Wai-iti at Belgrove,2018-01-18,11.046
HY Wai-iti at Belgrove,2018-01-19,0.526
HY Wai-iti at Belgrove,2018-01-20,0
HY Wai-iti at Belgrove,2018-01-21,0
HY Wai-iti at Belgrove,2018-01-22,0
HY Wai-iti at Belgrove,2018-01-23,0
HY Wai-iti at Belgrove,2018-01-24,0
HY Wai-iti at Belgrove,2018-01-25,0
HY Wai-iti at Belgrove,2018-01-26,0
HY Wai-iti at Belgrove,2018-01-27,0
HY Wai-iti at Belgrove,2018-01-28,0
HY Wai-iti at Belgrove,2018-01-29,0
HY Wai-iti at Belgrove,2018-01-30,0
HY Wai-iti at Belgrove,2018-01-31,0
HY Wai-iti at Belgrove,2018-02-01,47.47
HY Wai-iti at Belgrove,2018-02-02,6.565
HY Wai-iti at Belgrove,2018-02-03,0
HY Wai-iti at Belgrove,2018-02-04,1.515
HY Wai-iti at Belgrove,2018-02-05,0
HY Wai-iti at Belgrove,2018-02-06,0
HY Wai-iti at Belgrove,2018-02-07,0
HY Wai-iti at Belgrove,2018-02-08,0
HY Wai-iti at Belgrove,2018-02-09,0
HY Wai-iti at Belgrove,2018-02-10,3.2356692
HY Wai-iti at Belgrove,2018-02-11,111.904331
HY Wai-iti at Belgrove,2018-02-12,0.505
HY Wai-iti at Belgrove,2018-02-13,0
HY Wai-iti at Belgrove,2018-02-14,0
HY Wai-iti at Belgrove,2018-02-15,0
HY Wai-iti at Belgrove,2018-02-16,0
HY Wai-iti at Belgrove,2018-02-17,0
HY Wai-iti at Belgrove,2018-02-18,0
HY Wai-iti at Belgrove,2018-02-19,0
HY Wai-iti at Belgrove,2018-02-20,85.85
HY Wai-iti at Belgrove,2018-02-21,10.5093454
HY Wai-iti at Belgrove,2018-02-22,4.1356546
HY Wai-iti at Belgrove,2018-02-23,0
HY Wai-iti at Belgrove,2018-02-24,0
HY Wai-iti at Belgrove,2018-02-25,0
HY Wai-iti at Belgrove,2018-02-26,3.535
HY Wai-iti at Belgrove,2018-02-27,7.575
HY Wai-iti at Belgrove,2018-02-28,6.06
HY Wai-iti at Belgrove,2018-03-01,0.505
HY Wai-iti at Belgrove,2018-03-02,8.585
HY Wai-iti at Belgrove,2018-03-03,0.505
HY Wai-iti at Belgrove,2018-03-04,0
HY Wai-iti at Belgrove,2018-03-05,0
HY Wai-iti at Belgrove,2018-03-06,3.03
HY Wai-iti at Belgrove,2018-03-07,0.505
HY Wai-iti at Belgrove,2018-03-08,0
HY Wai-iti at Belgrove,2018-03-09,0
HY Wai-iti at Belgrove,2018-03-10,0
HY Wai-iti at Belgrove,2018-03-11,0
HY Wai-iti at Belgrove,2018-03-12,0
HY Wai-iti at Belgrove,2018-03-13,0
HY Wai-iti at Belgrove,2018-03-14,0
HY Wai-iti at Belgrove,2018-03-15,0
HY Wai-iti at Belgrove,2018-03-16,0
HY Wai-iti at Belgrove,2018-03-17,0
HY Wai-iti at Belgrove,2018-03-18,0
HY Wai-iti at Belgrove,2018-03-19,0
HY Wai-iti at Belgrove,2018-03-20,0
HY Wai-iti at Belgrove,2018-03-21,0
HY Wai-iti at Belgrove,2018-03-22,29.167485
HY Wai-iti at Belgrove,2018-03-23,30.722515
HY Wai-iti at Belgrove,2018-03-24,63.6
HY Wai-iti at Belgrove,2018-03-25,0
HY Wai-iti at Belgrove,2018-03-26,0
HY Wai-iti at Belgrove,2018-03-27,4.24
HY Wai-iti at Belgrove,2018-03-28,0.53
HY Wai-iti at Belgrove,2018-03-29,0
HY Wai-iti at Belgrove,2018-03-30,0
HY Wai-iti at Belgrove,2018-03-31,0
HY Wai-iti at Belgrove,2018-04-01,0
HY Wai-iti at Belgrove,2018-04-02,0
HY Wai-iti at Belgrove,2018-04-03,4.77
HY Wai-iti at Belgrove,2018-04-04,0
HY Wai-iti at Belgrove,2018-04-05,0
HY Wai-iti at Belgrove,2018-04-06,0
HY Wai-iti at Belgrove,2018-04-07,0
HY Wai-iti at Belgrove,2018-04-08,0
HY Wai-iti at Belgrove,2018-04-09,10.07
HY Wai-iti at Belgrove,2018-04-10,5.83
HY Wai-iti at Belgrove,2018-04-11,0
HY Wai-iti at Belgrove,2018-04-12,0.53
HY Wai-iti at Belgrove,2018-04-13,0
HY Wai-iti at Belgrove,2018-04-14,0
HY Wai-iti at Belgrove,2018-04-15,3.6418182
HY Wai-iti at Belgrove,2018-04-16,14.37818182
HY Wai-iti at Belgrove,2018-04-17,2.12
HY Wai-iti at Belgrove,2018-04-18,0.53
HY Wai-iti at Belgrove,2018-04-19,0
HY Wai-iti at Belgrove,2018-04-20,0
HY Wai-iti at Belgrove,2018-04-21,0
HY Wai-iti at Belgrove,2018-04-22,0
HY Wai-iti at Belgrove,2018-04-23,0
HY Wai-iti at Belgrove,2018-04-24,0
HY Wai-iti at Belgrove,2018-04-25,0
HY Wai-iti at Belgrove,2018-04-26,0
HY Wai-iti at Belgrove,2018-04-27,0
HY Wai-iti at Belgrove,2018-04-28,14.392
HY Wai-iti at Belgrove,2018-04-29,6.682
HY Wai-iti at Belgrove,2018-04-30,3.084
HY Wai-iti at Belgrove,2018-05-01,0
HY Wai-iti at Belgrove,2018-05-02,0
HY Wai-iti at Belgrove,2018-05-03,0
HY Wai-iti at Belgrove,2018-05-04,0
HY Wai-iti at Belgrove,2018-05-05,2.5499554
HY Wai-iti at Belgrove,2018-05-06,5.6740446
HY Wai-iti at Belgrove,2018-05-07,0
HY Wai-iti at Belgrove,2018-05-08,0
HY Wai-iti at Belgrove,2018-05-09,0
HY Wai-iti at Belgrove,2018-05-10,0
HY Wai-iti at Belgrove,2018-05-11,9.766
HY Wai-iti at Belgrove,2018-05-12,0
HY Wai-iti at Belgrove,2018-05-13,9.766
HY Wai-iti at Belgrove,2018-05-14,0
HY Wai-iti at Belgrove,2018-05-15,6.168
HY Wai-iti at Belgrove,2018-05-16,26.728
HY Wai-iti at Belgrove,2018-05-17,0
HY Wai-iti at Belgrove,2018-05-18,1.028
HY Wai-iti at Belgrove,2018-05-19,9.252
HY Wai-iti at Belgrove,2018-05-20,2.57
HY Wai-iti at Belgrove,2018-05-21,2.056
HY Wai-iti at Belgrove,2018-05-22,8.468174
HY Wai-iti at Belgrove,2018-05-23,4.3818262
HY Wai-iti at Belgrove,2018-05-24,9.252
HY Wai-iti at Belgrove,2018-05-25,4.112
HY Wai-iti at Belgrove,2018-05-26,0
HY Wai-iti at Belgrove,2018-05-27,0
HY Wai-iti at Belgrove,2018-05-28,0
HY Wai-iti at Belgrove,2018-05-29,0
HY Wai-iti at Belgrove,2018-05-30,0
HY Wai-iti at Belgrove,2018-05-31,0
HY Wai-iti at Belgrove,2018-06-01,0
HY Wai-iti at Belgrove,2018-06-02,0
HY Wai-iti at Belgrove,2018-06-03,0
HY Wai-iti at Belgrove,2018-06-04,0
HY Wai-iti at Belgrove,2018-06-05,0
HY Wai-iti at Belgrove,2018-06-06,0
HY Wai-iti at Belgrove,2018-06-07,0
HY Wai-iti at Belgrove,2018-06-08,0
HY Wai-iti at Belgrove,2018-06-09,0
HY Wai-iti at Belgrove,2018-06-10,0
HY Wai-iti at Belgrove,2018-06-11,0
HY Wai-iti at Belgrove,2018-06-12,0
HY Wai-iti at Belgrove,2018-06-13,1.02
HY Wai-iti at Belgrove,2018-06-14,0
HY Wai-iti at Belgrove,2018-06-15,0
HY Wai-iti at Belgrove,2018-06-16,3.06
HY Wai-iti at Belgrove,2018-06-17,4.08
HY Wai-iti at Belgrove,2018-06-18,13.26
HY Wai-iti at Belgrove,2018-06-19,0
HY Wai-iti at Belgrove,2018-06-20,0
HY Wai-iti at Belgrove,2018-06-21,0
HY Wai-iti at Belgrove,2018-06-22,0
HY Wai-iti at Belgrove,2018-06-23,0
HY Wai-iti at Belgrove,2018-06-24,8.16
HY Wai-iti at Belgrove,2018-06-25,6.12
HY Wai-iti at Belgrove,2018-06-26,1.02
HY Wai-iti at Belgrove,2018-06-27,0
HY Wai-iti at Belgrove,2018-06-28,0
HY Wai-iti at Belgrove,2018-06-29,0
HY Wai-iti at Belgrove,2018-06-30,0
HY Wai-iti at Belgrove,2018-07-01,12.24
HY Wai-iti at Belgrove,2018-07-02,4.08
HY Wai-iti at Belgrove,2018-07-03,0
HY Wai-iti at Belgrove,2018-07-04,0
HY Wai-iti at Belgrove,2018-07-05,0
HY Wai-iti at Belgrove,2018-07-06,0
HY Wai-iti at Belgrove,2018-07-07,8.064
HY Wai-iti at Belgrove,2018-07-08,39.816
HY Wai-iti at Belgrove,2018-07-09,12.096
HY Wai-iti at Belgrove,2018-07-10,0
HY Wai-iti at Belgrove,2018-07-11,0
HY Wai-iti at Belgrove,2018-07-12,0
HY Wai-iti at Belgrove,2018-07-13,0
HY Wai-iti at Belgrove,2018-07-14,0
HY Wai-iti at Belgrove,2018-07-15,13.87896774
HY Wai-iti at Belgrove,2018-07-16,13.337032
HY Wai-iti at Belgrove,2018-07-17,0.504
